Date in A.D,Date In B.S,Gold Rate Per Tola ,
01/01/2024,09/16/2080,"1,20,500/-",
12/31/2023,09/15/2080,"1,20,500/-",
12/29/2023,09/13/2080,"1,20,700/-",
12/28/2023,09/12/2080,"1,22,000/-",
12/27/2023,09/11/2080,"1,20,700/-",
12/26/2023,09/10/2080,"1,20,500/-",
12/25/2023,09/09/2080,"1,19,900/-",
12/24/2023,09/08/2080,"1,19,900/-",
12/22/2023,09/06/2080,"1,19,800/-",
12/21/2023,09/05/2080,"1,19,000/-",
12/20/2023,09/04/2080,"1,19,000/-",
12/19/2023,09/03/2080,"1,18,000/-",
12/18/2023,09/02/2080,"1,17,800/-",
12/17/2023,09/01/2080,"1,17,800/-",
12/15/2023,08/29/2080,"1,19,100/-",
12/13/2023,08/27/2080,"1,16,000/-",
12/13/2023,08/27/2080,"1,16,000/-",
12/12/2023,08/26/2080,"1,16,300/-",
12/11/2023,08/25/2080,"1,17,000/-",
12/10/2023,08/24/2080,"1,17,500/-",
12/08/2023,08/22/2080,"1,18,800/-",
12/07/2023,08/21/2080,"1,18,600/-",
12/06/2023,08/20/2080,"1,18,400/-",
12/05/2023,08/19/2080,"1,19,200/-",
12/04/2023,08/18/2080,"1,21,600/-",
12/03/2023,08/17/2080,"1,20,800/-",
12/01/2023,08/15/2080,"1,19,000/-",
11/30/2023,08/14/2080,"1,19,300/-",
11/29/2023,08/13/2080,"1,19,300/-",
11/28/2023,08/12/2080,"1,17,700/-",
11/27/2023,08/11/2080,"1,17,400/-",
11/26/2023,08/10/2080,"1,16,900/-",
11/24/2023,08/08/2080,"1,16,300/-",
11/23/2023,08/07/2080,"1,16,500/-",
11/22/2023,08/06/2080,"1,16,500/-",
11/21/2023,08/05/2080,"1,16,200/-",
11/20/2023,08/04/2080,"1,15,700/-",
11/19/2023,08/03/2080,"1,15,500/-",
11/17/2023,08/01/2080,"1,15,500/-",
11/10/2023,07/24/2080,"1,14,700/-",
11/09/2023,07/23/2080,"1,13,700/-",
11/08/2023,07/22/2080,"1,14,700/-",
11/07/2023,07/21/2080,"1,15,000/-",
11/06/2023,07/20/2080,"1,15,400/-",
11/05/2023,07/19/2080,"1,15,900/-",
11/03/2023,07/17/2080,"1,15,900/-",
11/02/2023,07/16/2080,"1,15,700/-",
11/01/2023,07/15/2080,"1,15,000/-",
10/31/2023,07/14/2080,"1,16,000/-",
10/30/2023,07/13/2080,"1,16,500/-",
10/29/2023,07/12/2080,"1,17,000/-",
10/20/2023,07/03/2080,"1,15,500/-",
10/19/2023,07/02/2080,"1,13,700/-",
10/18/2023,07/01/2080,"1,13,200/-",
10/17/2023,06/30/2080,"1,11,900/-",
10/16/2023,06/29/2080,"1,12,300/-",
10/15/2023,06/28/2080,"1,13,000/-",
10/14/2023,06/27/2080,"1,13,000/-",
10/13/2023,06/26/2080,"1,10,100/-",
10/12/2023,06/25/2080,"1,09,500/-",
10/11/2023,06/24/2080,"1,08,800/-",
10/10/2023,06/23/2080,"1,08,900/-",
10/09/2023,06/22/2080,"1,08,600/-",
10/08/2023,06/21/2080,"1,07,600/-",
10/06/2023,06/19/2080,"1,07,300/-",
10/05/2023,06/18/2080,"1,07,300/-",
10/04/2023,06/17/2080,"1,06,900/-",
10/03/2023,06/16/2080,"1,06,600/-",
10/02/2023,06/15/2080,"1,07,900/-",
10/01/2023,06/14/2080,"1,08,000/-",
09/29/2023,06/12/2080,"1,08,800/-",
09/28/2023,06/11/2080,"1,09,600/-",
09/27/2023,06/10/2080,"1,11,000/-",
09/26/2023,06/09/2080,"1,11,800/-",
09/25/2023,06/08/2080,"1,12,200/-",
09/24/2023,06/07/2080,"1,12,200/-",
09/22/2023,06/05/2080,"1,12,100/-",
09/21/2023,06/04/2080,"1,12,500/-",
09/20/2023,06/03/2080,"1,12,800/-",
09/19/2023,06/02/2080,"1,13,000/-",
09/18/2023,06/01/2080,"1,12,500/-",
09/17/2023,05/31/2080,"1,12,300/-",
09/15/2023,05/29/2080,"1,11,800/-",
09/14/2023,05/28/2080,"1,11,200/-",
09/13/2023,05/27/2080,"1,11,200/-",
09/12/2023,05/26/2080,"1,12,000/-",
09/11/2023,05/25/2080,"1,12,000/-",
09/10/2023,05/24/2080,"1,11,900/-",
09/08/2023,05/22/2080,"1,12,300/-",
09/07/2023,05/21/2080,"1,12,000/-",
09/06/2023,05/20/2080,"1,12,400/-",
09/05/2023,05/19/2080,"1,12,700/-",
09/04/2023,05/18/2080,"1,13,000/-",
09/03/2023,05/17/2080,"1,12,600/-",
09/01/2023,05/15/2080,"1,12,500/-",
08/31/2023,05/14/2080,"1,12,800/-",
08/30/2023,05/13/2080,"1,12,500/-",
08/29/2023,05/12/2080,"1,11,700/-",
08/28/2023,05/11/2080,"1,11,100/-",
08/27/2023,05/10/2080,"1,11,100/-",
08/25/2023,05/08/2080,"1,11,100/-",
08/24/2023,05/07/2080,"1,11,100/-",
08/23/2023,05/06/2080,"1,10,600/-",
08/22/2023,05/05/2080,"1,10,500/-",
08/21/2023,<stron,
